customer_addresses,anon,SIUD
customer_addresses,authenticated,SIUD
customer_addresses,service_role,SIUD
customer_documents,anon,SIUD
customer_documents,authenticated,SIUD
customer_documents,service_role,SIUD
customer_invoices,anon,SIUD
customer_invoices,authenticated,SIUD
customer_invoices,service_role,SIUD
customer_lifecycle_snapshots,anon,SIUD
customer_lifecycle_snapshots,authenticated,SIUD
customer_lifecycle_snapshots,service_role,SIUD
customer_lifecycle_snapshots_set_updated_at(),anon,X
customer_lifecycle_snapshots_set_updated_at(),authenticated,X
customer_lifecycle_snapshots_set_updated_at(),service_role,X
customer_notifications,anon,SIUD
customer_notifications,authenticated,SIUD
customer_notifications,service_role,SIUD
customer_payment_methods,anon,SIUD
customer_payment_methods,authenticated,SIUD
customer_payment_methods,service_role,SIUD
customer_preferences,anon,SIUD
customer_preferences,authenticated,SIUD
customer_preferences,service_role,SIUD
customer_profiles,anon,SIUD
customer_profiles,authenticated,SIUD
customer_profiles,service_role,SIUD
customer_security_log,anon,SIUD
customer_security_log,authenticated,SIUD
customer_security_log,service_role,SIUD
customer_subscriptions,anon,SIUD
customer_subscriptions,authenticated,SIUD
customer_subscriptions,service_role,SIUD
customer_verification_submissions,anon,SIUD
customer_verification_submissions,authenticated,SIUD
customer_verification_submissions,service_role,SIUD
customer_wallet_transactions,anon,SIUD
customer_wallet_transactions,authenticated,SIUD
customer_wallet_transactions,service_role,SIUD
customer_wallets,anon,SIUD
customer_wallets,authenticated,SIUD
customer_wallets,service_role,SIUD
data_governance_domains,anon,SIUD
data_governance_domains,authenticated,SIUD
data_governance_domains,service_role,SIUD
data_governance_set_updated_at(),anon,X
data_governance_set_updated_at(),authenticated,X
data_governance_set_updated_at(),service_role,X
data_recovery_drill_runs,anon,SIUD
data_recovery_drill_runs,authenticated,SIUD
data_recovery_drill_runs,service_role,SIUD
data_retention_policies,anon,SIUD
data_retention_policies,authenticated,SIUD
data_retention_policies,service_role,SIUD
data_storage_surfaces,anon,SIUD
data_storage_surfaces,authenticated,SIUD
data_storage_surfaces,service_role,SIUD
delivery_proofs,anon,SIUD
delivery_proofs,authenticated,SIUD
delivery_proofs,service_role,SIUD
delivery_zones,anon,SIUD
delivery_zones,authenticated,SIUD
delivery_zones,service_role,SIUD
email_audience_segments,anon,SIUD
email_audience_segments,authenticated,SIUD
email_audience_segments,service_role,SIUD
email_brand_voice_rules,anon,SIUD
email_brand_voice_rules,authenticated,SIUD
email_brand_voice_rules,service_role,SIUD
email_campaign_sends,anon,SIUD
email_campaign_sends,authenticated,SIUD
email_campaign_sends,service_role,SIUD
email_campaigns,anon,SIUD
email_campaigns,authenticated,SIUD
email_campaigns,service_role,SIUD
email_draft_assists,anon,SIUD
email_draft_assists,authenticated,SIUD
email_draft_assists,service_role,SIUD
email_editorial_events,anon,SIUD
email_editorial_events,authenticated,SIUD
email_editorial_events,service_role,SIUD
email_subscriber_topics,anon,SIUD
